Time,CO2 (PPM),Humidity (%),Temperature (degC),Barometric Pressure (mBar),Latitude,Longitude
2023-06-26T01:28:00-07:00,477.41243333333335,42.25921666666667,25.355156666666666,1011.885,47.709999999999994,-122.18000000000004
2023-06-26T01:29:00-07:00,403.40844000000004,42.188265,25.362364000000003,1011.8634999999998,47.709999999999994,-122.18000000000004
2023-06-26T01:30:00-07:00,413.7056636363637,42.39723818181818,25.255377272727273,1011.902909090909,47.709999999999994,-122.18000000000005
2023-06-26T01:31:00-07:00,413.60434000000004,41.762996,25.55596,1011.9015000000002,47.709999999999994,-122.18000000000004
2023-06-26T01:32:00-07:00,419.67213000000004,41.30202800000001,25.791216,1011.892,47.709999999999994,-122.18000000000004
2023-06-26T01:33:00-07:00,421.91018,40.54763599999999,26.064662,1011.9345,47.709999999999994,-122.18000000000004
2023-06-26T01:34:00-07:00,426.4376,40.23950727272728,26.11279454545454,1011.9641818181819,47.709999999999994,-122.18000000000005
2023-06-26T01:35:00-07:00,426.36003,40.62499799999999,25.923931,1011.9725000000001,47.709999999999994,-122.18000000000004
2023-06-26T01:36:00-07:00,419.71966000000003,41.033631,25.741018000000004,1011.951,47.709999999999994,-122.18000000000004
2023-06-26T01:37:00-07:00,412.0244199999999,40.95276200000001,25.780010000000004,1011.9302,47.709999999999994,-122.18000000000004
2023-06-26T01:38:00-07:00,433.42258181818175,41.01160545454546,25.545477272727283,1011.9570909090908,47.709999999999994,-122.18000000000005
2023-06-26T01:39:00-07:00,437.50284,42.991182,24.329474999999995,1011.9945,47.709999999999994,-122.18000000000004
2023-06-26T01:40:00-07:00,351.63925,44.50134500000001,23.647744999999993,1011.9753999999999,47.709999999999994,-122.18000000000004
2023-06-26T01:41:00-07:00,398.52266,43.495180000000005,24.322269999999996,1011.9505999999999,47.709999999999994,-122.18000000000004
2023-06-26T01:42:00-07:00,402.02696363636363,43.42901181818181,24.42660454545454,1011.9599090909088,47.709999999999994,-122.18000000000005
2023-06-26T01:43:00-07:00,401.86583,43.970333,24.179942,1011.9338,47.709999999999994,-122.18000000000004
2023-06-26T01:44:00-07:00,397.06106,43.422848,24.16793,1011.951,47.709999999999994,-122.18000000000004
2023-06-26T01:45:00-07:00,407.11589999999995,44.247738,23.654684,1011.9650000000001,47.709999999999994,-122.18000000000004
2023-06-26T01:46:00-07:00,395.0896363636364,44.608790000000006,23.76266272727273,1011.9809999999999,47.709999999999994,-122.18000000000005
2023-06-26T01:47:00-07:00,402.76942,44.258422,23.849626000000008,1011.9708,47.709999999999994,-122.18000000000004
2023-06-26T01:48:00-07:00,351.9426199999999,45.810548,23.053864000000004,1011.9733999999999,47.709999999999994,-122.18000000000004
2023-06-26T01:49:00-07:00,338.7131,48.501286,22.055694,1011.9947999999998,47.709999999999994,-122.18000000000004
2023-06-26T01:50:00-07:00,486.78762000000006,48.645936000000006,21.897608,1011.9753000000001,47.709999999999994,-122.18000000000004
2023-06-26T01:51:00-07:00,460.94308181818184,49.15202545454545,21.754089090909098,1011.996,47.709999999999994,-122.18000000000005
2023-06-26T01:52:00-07:00,424.71957999999995,48.689272,22.031128000000002,1012.0036,47.709999999999994,-122.18000000000004
2023-06-26T01:53:00-07:00,432.67716,47.189636,22.53475,1012.0198,47.709999999999994,-122.18000000000004
2023-06-26T01:54:00-07:00,438.12652727272723,46.532785454545454,22.71370818181818,1011.996909090909,47.709999999999994,-122.18000000000005
2023-06-26T01:55:00-07:00,448.88076,46.418758,22.79645,1012.0146000000001,47.709999999999994,-122.18000000000004
2023-06-26T01:56:00-07:00,454.63717777777777,46.20988555555555,22.89519,1012.015777777778,47.709999999999994,-122.18000000000004
2023-06-26T01:57:00-07:00,361.3049,47.24579200000001,22.553976,1012.0613000000001,47.709999999999994,-122.18000000000004
2023-06-26T01:58:00-07:00,467.08593999999994,46.621402,22.625008,1012.0676,47.709999999999994,-122.18000000000004
2023-06-26T01:59:00-07:00,515.5887000000001,47.701330000000006,22.12454363636364,1012.1082727272728,47.709999999999994,-122.18000000000005
2023-06-26T02:00:00-07:00,337.41328000000004,47.750854000000004,22.071720000000003,1012.1094,47.709999999999994,-122.18000000000004
2023-06-26T02:01:00-07:00,398.88942000000003,47.55797999999999,22.196690000000007,1012.0818999999999,47.709999999999994,-122.18000000000004
2023-06-26T02:02:00-07:00,407.36286000000007,47.162471999999994,22.290681999999997,1012.1124,47.709999999999994,-122.18000000000004
2023-06-26T02:03:00-07:00,420.01290000000006,48.10149800000001,21.760889999999996,1012.0939999999998,47.709999999999994,-122.18000000000004
2023-06-26T02:04:00-07:00,414.75335000000007,48.172154,21.821506999999997,1012.0869999999998,47.709999999999994,-122.18000000000004
2023-06-26T02:05:00-07:00,385.10159999999996,46.85405636363635,22.469503636363637,1012.0845454545452,47.709999999999994,-122.18000000000005
2023-06-26T02:06:00-07:00,418.49242000000004,45.463254,23.046392,1012.0938999999998,47.709999999999994,-122.18000000000004
2023-06-26T02:07:00-07:00,436.63364999999993,44.277957,23.549214000000003,1012.1124,47.709999999999994,-122.18000000000004
2023-06-26T02:08:00-07:00,433.04631000000006,43.436127,23.911045,1012.0729999999998,47.709999999999994,-122.18000000000004
2023-06-26T02:09:00-07:00,428.67698,43.22677499999999,24.006375000000006,1012.0766000000001,47.709999999999994,-122.18000000000004
2023-06-26T02:10:00-07:00,422.0463363636364,42.70921545454546,24.196475454545453,1012.0414545454546,47.709999999999994,-122.18000000000005
2023-06-26T02:11:00-07:00,406.7627,41.91437,24.43923,1012.08,47.71,-122.18
2023-06-26T02:12:00-07:00,348.10652857142856,42.976377142857146,23.804075714285716,1012.0538571428572,47.709999999999994,-122.18000000000004
2023-06-26T02:13:00-07:00,342.4883,43.71796,23.550009999999997,1012.0358000000002,47.709999999999994,-122.18000000000004
2023-06-26T02:14:00-07:00,403.34789090909095,43.012449999999994,23.861956363636363,1012.0046363636365,47.709999999999994,-122.18000000000005
2023-06-26T02:15:00-07:00,419.62092,42.71957300000001,23.934005000000006,1012.0328,47.709999999999994,-122.18000000000004
2023-06-26T02:16:00-07:00,474.9827,44.052122,23.161739999999998,1011.9757999999999,47.709999999999994,-122.18000000000004
2023-06-26T02:17:00-07:00,461.1789272727273,44.705890000000004,22.95987,1012.006090909091,47.709999999999994,-122.18000000000005
2023-06-26T02:18:00-07:00,424.2173099999999,44.67650999999999,22.941178,1012.0719999999999,47.709999999999994,-122.18000000000004
2023-06-26T02:19:00-07:00,487.59043999999994,44.888156,22.790040000000005,1012.0516000000001,47.709999999999994,-122.18000000000004
2023-06-26T02:20:00-07:00,403.5407,44.79065000000001,22.94385,1012.0062000000001,47.709999999999994,-122.18000000000004
2023-06-26T02:21:00-07:00,416.8102636363637,44.82907181818182,22.911078181818187,1012.0385454545453,47.709999999999994,-122.18000000000005
2023-06-26T02:22:00-07:00,426.24505,44.010009,23.416767,1012.0204,47.709999999999994,-122.18000000000004
2023-06-26T02:23:00-07:00,398.38100999999995,43.69339199999999,23.485388,1012.0486000000001,47.709999999999994,-122.18000000000004
2023-06-26T02:24:00-07:00,403.87649999999996,43.1427,23.64881,1012.0527,47.709999999999994,-122.18000000000004
2023-06-26T02:25:00-07:00,416.3021,42.359919999999995,24.1001,1011.9992,47.709999999999994,-122.18000000000004
2023-06-26T02:26:00-07:00,412.4205000000001,41.91589,24.34043,1012.0296363636364,47.709999999999994,-122.18000000000005
